ID,Department,"Vendor Name","Contract Value","Contract Date","Start Year","End Year","Original Value","Number of Amendments",Description,"Original Vendor Name"
fin-7004330,fin,"ACTION PERSONNEL",6620.12,2009-02-18,2009,2009,6620.12,0,"813  TEMPORARY HELP SERVICES","Action Personnel"
fin-8026493,fin,"GRAND & TOY",22258.74,2012-01-30,2012,2012,22258.74,0,"1172 OFFICE AND STATIONERY SUPPLIES","Grand & Toy"
fin-6006340,fin,CGI,21400,2005-07-11,2005,2005,21400,0,"491  Management Consulting","CGI INFORMATION SYSTEMS AND"
fin-6007470086,fin,"IPSOS-REID CORPORATION",88536.5,2007-07-31,2007,2007,88536.5,0,"341  COMMUNICATIONS RESEARCH SERVICES","IPSOS-REID CORPORATION"
fin-6007450081,fin,"DECIMA RESEARCH",109308.31,2005-07-25,2005,2005,109308.31,0,"341  Communications Research Services","DECIMA RESEARCH LTD"
fin-8021785,fin,"SIMPLEX INDUSTRIES",10135.66,2008-08-28,2008,2008,10135.66,0,"630  OFFICE BUILDINGS","SIMPLEX INDUSTRIES"
fin-6005718,fin,"ST JOSEPH PRINT GROUP",94392.33,2005-02-22,2005,2005,94392.33,0,"321  Printing services","ST. JOSEPH PRINT GROUP"
fin-8026116,fin,"CANADA COUNCIL FOR THE ARTS",42623.6,2011-04-01,2011,2014,24950.4,3,"570  RENTAL - OTHER","Canada Council For The Arts"
fin-6007460521,fin,ITEX,21522.13,2007-03-30,2007,2007,21522.13,0,"1228 COMPUTER SOFTWARE","ITEX INC."
fin-6007440162,fin,"EKOS RESEARCH ASSOCIATES",21252.52,2004-10-05,2004,2004,21252.52,0,"341  Communications Research Services","EKOS RESEARCH ASSOCIATES INC."
fin-6008253,fin,"GILMORE PRINTING SERVICES",13088.88,2006-10-16,2006,2006,13088.88,0,"321  PRINTING SERVICES","GILMORE PRINTING SERVICES INC"
fin-7004142,fin,"ARTEMP PERSONNEL  SERVICES",12103.88,2008-10-07,2008,2009,12103.88,0,"813  TEMPORARY HELP SERVICES","ARTEMP PERSONNEL  SERVICES INC."
fin-8018411,fin,SPICERS,13313.6,2007-09-20,2007,2007,13313.6,0,"1172 OFFICE AND STATIONERS SUPPLIES",SPICERS
fin-8008692,fin,"LEXISNEXIS CANADA",29981.34,2004-08-12,2004,2006,29981.34,0,"812  Computer Services","LEXISNEXIS CANADA"
fin-8022477,fin,"ADAPTEK SYSTEMS",133179.63,2008-12-11,2008,2008,133179.63,0,"1227 COMPUTER EQUIPMENT  SMALL  DESKTOP / PERSONAL /PORTABLE/KEYBOARD","Adaptek Systems Inc."
fin-P70278/1,fin,"TRI-GRAPHIC PRINTING (OTTAWA)",11061.1,2007-10-02,2007,2007,11061.1,0,"321  PRINTING SERVICES","TRI-GRAPHIC PRINTING (OTTAWA) LTD."
fin-8026325,fin,"BEDFORD COMPUTING",23730,2011-10-27,2011,2011,23730,0,"1227 COMPUTER  EQUPMENT SMALL /DESKTOP/PERSONAL/PORTABLE/ KEYBOARD","Bedford Computing"
fin-6007470284,fin,"SAS INSTITUTE",19089,2008-03-04,2008,2008,19089,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","SAS INSTITUTE"
fin-8009377,fin,"CASCADES FINE PAPERS GROUP",24838.98,2005-01-13,2005,2005,24838.98,0,"1172 Office and stationers supplies","CASCADES FINE PAPERS GROUP INC."
fin-8020263,fin,"METAFORE CORPORATION",97661.64,2008-02-27,2008,2008,97661.64,0,"1227 COMPUTER EQUIPMENT  SMALL  DESKTOP / PERSONAL /PORTABLE/KEYBOARD","METAFORE CORPORATION"
fin-6004668,fin,"ECOLE DE LANGUES ABCE",24990,2004-04-01,2004,2005,24990,0,"447  Tuition fees and costs of attending courses not elsewhere specified","ECOLE DE LANGUES ABCE INC."
fin-6074150196,fin,"J & A CREATIVE SERVICES",22487,2015-07-16,2015,2017,16950,2,"351  COMMUNICATIONS PROFESSIONAL SERVICES NOT ELSEWHERE","J & A Creative Services Inc."
fin-6009995,fin,"ECOLE DE LANGUES DE ABCE",6160,2007-09-18,2007,2007,6160,0,"447  TUITION FEES AND COSTS OF ATTENDING COURSES INCLUDING SEMINARS NOT ELSEWHERE SPECIFIED","ECOLE DE LANGUES DE ABCE INC."
fin-6015282,fin,"EDWARD ROGERS",10001,2012-12-01,2012,2013,10001,0,"491  MANAGEMENT CONSULTING","Edward Rogers"
fin-7004378,fin,"API (ALLIANCE PERSONNEL)",66649.3,2009-03-09,2009,2010,11370.32,5,"813  TEMPORARY HELP SERVICES","API (ALLIANCE PERSONNEL INC.)"
fin-6006426,fin,"MACNEVIN ALEX STANLEY",24725,2005-08-23,2005,2006,24725,0,"491  Management Consulting","MacNevin, Alex Stanley"
fin-6006389,fin,"CAREEROWL INSTITUTE",24931,2005-07-25,2005,2006,24931,0,"499  Other Professional Services not Elsewhere Specified","CareerOwl Institute"
fin-6074120852,fin,"SAS INSTITUTE",55436.67,2013-04-01,2013,2014,55436.67,0,"583  LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE","SAS Institute (Canada) Inc."
fin-8008341,fin,"GRAND AND TOY",19093.08,2004-05-21,2004,2004,19093.08,0,"1172 Office and stationers supplies","GRAND AND TOY"
fin-6005573,fin,INDIGO27,16825.75,2005-01-24,2005,2005,16825.75,0,"472  Computer services","Indigo27 Inc."
fin-6007460433,fin,"ANIXTER CANADA",12888.96,2007-02-06,2007,2007,12888.96,0,"1227 COMPUTER EQUIPMENT  SMALL  DESKTOP / PERSONAL /PORTABLE/KEYBOARD","ANIXTER CANADA INC."
fin-6014800,fin,"TELFER SCHOOL OF MANAGEMENT",370640,2011-10-03,2011,2014,92660,3,"444  TEACHERS AND INSTRUCTORS ON CONTRACT","Telfer School of Management"
fin-6015391,fin,"ROGERS PAYMENT CENTER",28801.44,2013-04-01,2013,2014,28801.44,0,"231  DATA COMMUNICATIONS SERVICES (INCLUDES ANALOG AND/OR DIGITAL DATA COMMUNICATION SERVICES)","Rogers Payment Center"
fin-7002735,fin,"ACTION PERSONNEL",13666.37,2007-01-02,2007,2007,13666.37,0,"813  TEMPORARY HELP SERVICES","ACTION PERSONNEL"
fin-7001328,fin,"API (ALLIANCE PERSONNEL)",17462.4,2005-03-15,2005,2005,17462.4,0,"813  Temporary help services","API (ALLIANCE PERSONNEL INC.)"
fin-8020877,fin,"CANADIAN CORPS OF COMMISSIONAIRES",1754128.3,2008-04-01,2008,2009,1754128.3,0,"460  PROTECTION SERVICES","COMMISSIONAIRES OTTAWA"
fin-4000671,fin,"LOWE-MARTIN COMPANY",216251.95,2015-04-14,2015,2015,144229.55,0,"321  PRINTING SERVICES","Lowe-Martin Company Inc."
fin-6010490,fin,"MRJAMES B LOVE",75000,2007-12-05,2007,2008,75000,0,"491  MANAGEMENT CONSULTING","MR.JAMES B. LOVE"
fin-7003926,fin,"IT/NET OTTAWA",60481.89,2008-05-20,2008,2008,60481.89,0,"813  TEMPORARY HELP SERVICES","IT/NET OTTAWA INC."
fin-6006678,fin,"HANGAR 13 ART & DESIGN",24931,2005-11-01,2005,2005,24931,0,"351  Communications Professional Services not elsewhere specified","Hangar 13 Art & Design"
fin-6009553,fin,"BELL SECURITY SOLUTIONS (BSS",24700.65,2007-06-07,2007,2007,24700.65,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","BELL SECURITY SOLUTIONS INC. - (BSS"
fin-8026594,fin,"RL POLK CANADA",19374.98,2012-03-15,2013,2013,19374.98,0,"361 INFORMATION SERVICES","R.L. Polk Canada Inc."
fin-7002630,fin,"EXCEL HUMAN RESOURCES",22258.73,2006-11-14,2006,2007,22258.73,0,"813  TEMPORARY HELP SERVICES","EXCEL HUMAN RESOURCES"
fin-6006504,fin,"VERAXIS RESEARCH AND COMMUNICATION",23112,2005-09-06,2005,2005,23112,0,"Communications Professional Services","Veraxis Research and Communication"
fin-6074110166,fin,"NANOS RESEARCH",86717.9,2011-11-22,2011,2012,86717.9,0,"341  COMMUNICATIONS RESEARCH SERVICES","Nanos Research"
fin-8022663,fin,"S A KELLY MANAGEMENT CONSULTING",17640,2009-01-15,2009,2009,17640,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIE","S A Kelly Management Consulting Ltd"
fin-8008284,fin,"IKON OFFICE SOLUTION",13706.7,2004-05-11,2004,2004,13706.7,0,"670  Computer equipment—hardware and software","IKON OFFICE SOLUTION"
fin-7004023,fin,"LUMINA IT",19687.5,2008-07-21,2008,2008,19687.5,0,"813  TEMPORARY HELP SERVICES","LUMINA IT INC."
fin-6014364,fin,"GEORGE F J GOSBEE",10001,2010-06-21,2010,2011,10001,0,"491  MANAGEMENT CONSULTING","George F. J. Gosbee"
fin-6013673,fin,"1380248 ALBERTA",68250,2009-07-22,2009,2009,68250,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","1380248 ALBERTA INC."
fin-6007405,fin,CILFO,16380,2006-05-29,2006,2006,16380,0,"447  TUITION FEES AND COSTS OF ATTENDING COURSES INCLUDING SEMINARS NOT ELSEWHERE SPECIFIED",CILFO
fin-2BWD189221,fin,"NORTHERN MICRO",14897.95,2015-11-02,2015,2015,14897.95,0,"1283 COMPUTER EQUIPMENT - DESKTOP PERSONAL PORTABLE","Northern Micro"
fin-7004363,fin,"LUMINA IT",30868.9,2009-03-02,2009,2009,30868.9,2,"813  TEMPORARY HELP SERVICES","LUMINA IT INC."
fin-6007846,fin,"INTEGRA NETWORKS",24221,2006-09-01,2006,2006,24221,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","INTEGRA NETWORKS"
fin-6009670,fin,"CENTRE LINGUISTIQUE DU COLLEGE DE",23100,2007-10-29,2007,2008,23100,0,"447  TUITION FEES AND COSTS OF ATTENDING COURSES INCLUDING SEMINARS NOT ELSEWHERE SPECIFIED","CENTRE LINGUISTIQUE DU COLLEGE DE"
fin-6004935,fin,"DP ENVIRONMENTAL SERVICE",14110.95,2004-06-26,2004,2004,14110.95,0,"499  Other professional services not otherwise specified","DP ENVIRONMENTAL SERVICE"
fin-6014145,fin,"TRI-CO PRINTING",91734.09,2010-03-03,2010,2010,57760.5,0,"311  PUBLISHING SERVICES","TRI-CO PRINTING INC."
fin-4000152,fin,"ALLIANCE PERSONNEL (API)",14616,2010-05-10,2010,2010,14616,0,"813  TEMPORARY HELP SERVICES","Alliance Personnel Inc. (API)"
fin-4000176,fin,"EAGLE PROFESSIONAL RESOURCES",76614,2010-07-07,2010,2011,51076,2,"472 INFORMATION TECHNOLOGY CONSULTANTS","Eagle Professional Resources Inc."
fin-8012526,fin,"CONFERENCE BOARD OF CANADA",21935,2006-01-01,2006,2006,21935,0,"812  COMPUTER SERVICES","CONFERENCE BOARD OF CANADA"
fin-7002462,fin,"ASSOCIATES THE",46300.8,2006-10-10,2006,2007,46300.8,0,"813  TEMPORARY HELP SERVICES","ASSOCIATES, THE"
fin-7002177,fin,"ACTION PERSONNEL",12687.53,2006-06-08,2006,2006,12687.53,0,"813  TEMPORARY HELP SERVICES","ACTION PERSONNEL"
fin-6074110273,fin,SYMANTEC,51623.89,2012-04-01,2013,2013,51623.89,0,"584  LICENSE FEES FOR SERVER SOFTWARE","Symantec Corporation"
fin-4000000,fin,"API (ALLIANCE PERSONNEL)",5512.5,2009-05-25,2009,2009,5512.5,0,"813  TEMPORARY HELP SERVICES","API (Alliance Personnel Inc)"
fin-8013210,fin,"CHARRON HUMAN RESOURCES",34507.5,2006-05-01,2006,2006,34507.5,0,"491  MANAGEMENT CONSULTING SERVICES","CHARRON HUMAN RESOURCES"
fin-6009779,fin,"WORDCLASS COMMUNICATIONS",24168,2007-08-01,2007,2008,24168,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","WORDCLASS COMMUNICATIONS"
fin-6074130738,fin,"KONICA MINOLTA BUSINESS SOLUTIONS",1464486.79,2014-08-29,2014,2018,952741.44,5,"533  RENTAL OF MACHINERY OFFICE FURNITURE AND FIXTURES","Konica Minolta Business Solutions"
fin-6007430279,fin,CGI,270410.4,2004-06-28,2004,2004,270410.4,0,"670  Computer equipment—hardware and software","CGI INFORMATION SYSTEMS AND"
fin-8026625,fin,"CONFERENCE BOARD OF CANADA",10420,2012-04-01,2012,2013,10420,0,"1143 SUBSCIPTIONS","Conference Board of Canada"
fin-8017738,fin,"RGE MONITOR",17619,2007-04-30,2007,2008,17619,0,"812  COMPUTER SERVICES","RGE MONITOR"
fin-6016297,fin,"MONIQUE LEROUX",10001,2014-09-01,2014,2015,10001,0,"262  NON-PUBLIC SERVANT TRAVEL - STAKEHOLDER ENGAGEMENT","Monique Leroux"
fin-6005819,fin,"CENTRE LINGUISTIQUE DU COLLEGE DE JONQUIèRE",14100,2005-04-04,2005,2005,14100,0,"447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","Centre Linguistique du College de Jonquière"
fin-4000712,fin,"EXCEL HUMAN RESOURCES",30403.64,2015-06-15,2015,2016,5615.96,0,"813  TEMPORARY HELP SERVICES","Excel HR"
fin-6010689,fin,"BELL CANADA",23205,2008-01-10,2008,2008,23205,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","BELL CANADA"
fin-6018444,fin,"BRIAN FERGUSON",10001,2016-04-01,2016,2017,10001,0,"499  NON PUBLIC SERVANT TRAVEL - STAKEHOLDER ENGAGEMENT","Brian Ferguson"
fin-8014165,fin,SPICERS,16212.7,2006-08-15,2006,2006,16212.7,0,"1172 Office and Stationers Supplies",Spicers
fin-6005627,fin,"HANGAR 13 ART & DESIGN",24810.63,2005-01-31,2005,2005,24810.63,0,"351  Communications professional services not elsewhere","Hangar 13 Art & Design"
fin-6013508,fin,"SOLUTIONS SL 6830927 CANADA",12600,2009-05-04,2009,2010,12600,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","SOLUTIONS SL, 6830927 CANADA INC."
fin-8008247,fin,"RENTOKIL INITIAL CANADA LIMITED",277558,2004-05-03,2004,2004,277558,0,"499  Other professional services not otherwise specified","RENTOKIL INITIAL CANADA LIMITED"
fin-7003259,fin,"AJILON CONSULTING",77170.97,2007-07-30,2007,2007,77170.97,0,"813  TEMPORARY HELP SERVICES","AJILON CONSULTING"
fin-7003176,fin,"HARRINGTON STAFFING SERVICES",10947.15,2007-06-20,2007,2007,10947.15,0,"813  TEMPORARY HELP SERVICES","HARRINGTON STAFFING SERVICES"
fin-7003042,fin,"ARTEMP PERSONNEL  SERVICES",14572.35,2007-04-26,2007,2007,14572.35,0,"813  TEMPORARY HELP SERVICES","ARTEMP PERSONNEL  SERVICES INC."
fin-8025941,fin,"GLOBAL UPHOLSTERY CO",20089.23,2011-02-18,2011,2011,20089.23,0,"1231 OFFICE FURNITURE AND FURNISHINGS","Global Upholstery Co. Inc."
fin-8022633,fin,"ADT SECURITY SERVICES CANADA",11667.6,2009-01-09,2009,2009,11667.6,0,"1239 OTHER OFFICE EQUIPMENT AND PARTS","ADT SECURITY SERVICES CANADA INC"
fin-6014819,fin,"LOCKHART COMMUNICATIONS",56500,2011-10-06,2011,2012,56500,0,"351  COMMUNICATIONS PROFESSIONAL SERVICES NOT ELSWERE SPECIFIED","Lockhart Communications"
fin-7001662,fin,"PROLOGIC SYSTEMS",14575.01,2005-10-24,2005,2006,14575.01,0,"813  Temporary Help Services","PROLOGIC SYSTEMS LTD"
fin-6013626,fin,"EVELYN JACKS",45000,2009-06-17,2009,2010,45000,0,"202  MANAGEMENT CONSULTING","EVELYN JACKS"
fin-8019503,fin,"XEROX CANADA",22781.52,2007-12-10,2007,2010,22781.52,0,"533  RENTAL OF MACHINERY OFFICE FURNITURE AND FIXTURES","XEROX CANADA LTD."
fin-6074100303,fin,"COSSETTE COMMUNICATIONS",4518751.92,2010-12-24,2010,2011,3846520,2,"301  ADVERTISING SERVICES","Cossette Communications"
fin-8011413,fin,"METAFORE CORPORATION",81770.47,2005-10-12,2005,2005,81770.47,0,"1239 Other Office Equipment and Parts","METAFORE CORPORATION"
fin-8013812,fin,SPICERS,32731.3,2006-06-26,2006,2006,32731.3,0,"1172 OFFICE AND STATIONERS SUPPLIES",SPICERS
fin-6007490301,fin,"BUSINESS EVENT SOLUTIONS",95031.56,2010-02-04,2010,2010,95031.56,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","BUSINESS EVENT SOLUTIONS"
fin-6014758,fin,"MCKINSEY & COMPANY CANADA",743000,2011-06-22,2011,2011,743000,0,"492  RESEARCH SERVICES","McKinsey & Company Canada"
fin-8014431,fin,SPICERS,16895.34,2006-09-20,2006,2006,16895.34,0,"1172 Office and Stationers Supplies",Spicers
fin-6013803,fin,"THE LOWE MARTIN GROUP",33455.42,2009-09-25,2009,2009,33455.42,0,"311  PUBLISHING SERVICES","THE LOWE MARTIN GROUP"
fin-6014169,fin,SIRSIDYNIX,116581.74,2010-03-16,2010,2013,87738,3,"583  LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE",Sirsidynix
fin-8010611,fin,"SPACESAVER CORPORATION",24751.24,2005-06-09,2005,2005,24751.24,0,"1172 Office and stationers supplies","SPACESAVER CORPORATION"
fin-6012025,fin,"MEDIA Q",126000,2008-11-01,2008,2010,126000,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","MEDIA Q INC."
fin-8016313,fin,"XWAVE A DIVISION OF BELL ALIANT",24655.6,2007-04-01,2007,2008,24655.6,0,"812  COMPUTER SERVICES","XWAVE - A DIVISION OF BELL ALIANT"
fin-7001146,fin,"MAXSYS PROFESSIONAL AND",21310.39,2004-10-18,2004,2005,21310.39,0,"813  Temporary help services","MAXSYS PROFESSIONAL AND"
fin-6074100126,fin,"MEDIA Q",135600,2010-11-01,2010,2012,135600,0,"351 COMMUNICATIONS PROFESSIONAL SERVICES","Media Q Inc."
fin-8027047,fin,"4 OFFICE  AUTOMATION",15189.47,2012-11-01,2012,2015,12059.37,2,"533  RENTAL OF MACHINERY OFFICE FURNITURE AND FIXTURES","4 Office  Automation Ltd."
fin-6006220,fin,"MANCHESTER CF CONSULTING CO",25000,2005-06-27,2005,2005,25000,0,"499  Other professional services not otherwise specified","Manchester CF Consulting Co. Ltd."
fin-6074141384,fin,"HAVER ANALYTICS",162969.77,2015-04-01,2015,2017,73999.8,2,"362  DATA AND DATABASE ACCESS SERVICES","Haver Analytics"
fin-6006987,fin,ITEX,18190,2006-01-30,2006,2006,18190,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","ITEX INC."
fin-8024408,fin,IBFD,13366.38,2010-01-01,2010,2010,13366.38,0,"812  COMPUTER SERVICES",IBFD
fin-8025817,fin,"KONICA MINOLTA BUSINESS SOLUTIONS",19228.77,2011-01-01,2011,2013,7360.37,2,"533  RENTAL OF MACHINERY OFFICE FURNITURE AND FIXTURES","Konica Minolta Business Solutions"
fin-6016644,fin,"KNOWLEDGE CIRCLE",246812.5,2014-10-20,2014,2017,55562.5,3,"447  TUITION FEES AND COSTS OF ATTENDING COURSES","Knowledge Circle"
fin-6007440255,fin,"PRIVASOFT CORP",11063.8,2005-01-03,2005,2005,11063.8,0,"812  Computer services","PRIVASOFT CORP."
fin-6007490202,fin,"DRIVING FORCE",63345.05,2010-02-04,2010,2010,63345.05,0,"540  RENTAL OF MOTOR AND OTHER VEHICLES","DRIVING FORCE"
fin-8025835,fin,"KONICA MINOLTA BUSINESS SOLUTIONS",13440.68,2011-02-01,2011,2013,11363.28,0,"533  RENTAL OF MACHINERY OFFICE FURNITURE AND FIXTURES","Konica Minolta Business Solutions"
fin-6074100321,fin,"THE CANADIAN PRESS",167235.48,2011-04-01,2011,2014,54646.8,3,"361  ELECTRONIC SUBSCRIPTIONS AND ELECTRONIC PUBLICATIONS","The Canadian Press"
fin-6012861,fin,"MONSIEUR PAUL DESMARAIS JR",20001,2008-12-18,2008,2009,20001,0,"491  MANAGEMENT CONSULTING","MONSIEUR PAUL DESMARAIS JR."
fin-6014233,fin,"BURKE CADER MEDIA STRATEGIES",25089,2010-04-01,2010,2014,22050,2,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","Burke Cader Media Strategies Inc."
fin-6007460172,fin,"IPSOS-REID CORPORATION",37192.75,2006-07-27,2006,2006,37192.75,0,"341  COMMUNICATIONS RESEARCH SERVICES","IPSOS-REID CORPORATION"
fin-6011908,fin,"ART COCKFIELD",23625,2008-06-26,2008,2008,23625,0,"492  RESEARCH SERVICES","ART COCKFIELD"
fin-6007400362,fin,"EBSCO CANADA",51252.77,2011-02-01,2011,2016,8478.48,4,"361  ELECTRONIC SUBSCRIPTIONS AND ELECTRONIC PUBLICATIONS","EBSCO Canada Ltd."
fin-6007490288,fin,ELSEVIER,49141.99,2010-01-01,2010,2011,5708.57,4,"812  COMPUTER SERVICES",Elsevier
fin-8018784,fin,"NORTHERN MICRO",10785.5,2007-10-25,2007,2007,10785.5,0,"1239 OTHER OFFICE EQUIPMENT AND PARTS","NORTHERN MICRO INC."
fin-8014990,fin,SPICERS,17219.7,2006-11-14,2006,2006,17219.7,0,"1179 Miscellaneous manufactured articles",Spicers
fin-6010245,fin,"DALIAN ENTERPRISES",24910,2007-10-26,2007,2007,24910,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","DALIAN ENTERPRISES"
fin-7002846,fin,"ACCESS CORPORATE TECHNOLOGY",10128.3,2007-02-19,2007,2007,10128.3,0,"813  TEMPORARY HELP SERVICES","ACCESS CORPORATE TECHNOLOGY INC."
fin-6010980,fin,"THOMAS HOCKIN",35000,2008-03-01,2008,2009,35000,0,"202  TRAVEL NON-PUBLIC SERVANTS","THOMAS HOCKIN"
fin-7001751,fin,"EYEDU SOLUTIONS",57780,2005-12-19,2005,2006,57780,0,"813  Temporary Help Services","Eyedu Solutions Inc."
fin-7002689,fin,"PERSONNEL FORCE",83558.48,2006-12-11,2006,2007,83558.48,0,"813  TEMPORARY HELP SERVICES","PERSONNEL FORCE"
fin-8027930,fin,"LAURIER COMPUTER",10509,2014-04-22,2014,2014,10509,0,"1283 COMPUTER EQUIPMENT -  DESKTOP, PERSONAL, PORTABLE","Laurier Computer"
fin-6015262,fin,"RON MATTHEWS",16000,2012-10-15,2012,2014,16000,0,"491  MANAGEMENT CONSULTING","Ron Matthews"
fin-4000394,fin,"IBISKA TELECOM",24999.84,2013-09-09,2013,2013,24999.84,0,"473  INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS CONSULTANTS","IBISKA Telecom Inc."
fin-6018227,fin,"ANDREW KALOTAY ASSOCIATES",64732.05,2016-04-01,2016,2016,21577.35,2,"491  MANAGEMENT CONSULTING","Andrew Kalotay Associates Inc."
fin-6074130333,fin,"MEDIA Q",73450,2013-11-01,2013,2014,62150,2,"351  COMMUNICATIONS PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","Media Q Inc."
fin-8030079,fin,"QUINTET CONSULTING CORPORATION",18588.51,2015-08-10,2015,2015,18588.51,0,"491  MANAGEMENT CONSULTING SERVICES","Quintet Consulting Corporation"
fin-6013399,fin,"PRICEWATERHOUSE COOPERS",23887.5,2009-03-25,2009,2009,23887.5,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIE","PRICEWATERHOUSECOOPERS LLP"
fin-8027078,fin,"NORTHERN MICRO",24998.99,2012-11-01,2012,2012,24998.99,0,"473  INFORMATION TECHNOLOGY & TELECOMMUNICATIONS CONSULTANTS","Northern Micro Inc."
fin-6010243,fin,"ST JOSEPH DIGITAL SOLUTIONS",33464.18,2007-10-27,2007,2007,33464.18,0,"311  PUBLISHING SERVICES","ST. JOSEPH DIGITAL SOLUTIONS"
fin-8011157,fin,"KONICA MINOLTA BUSINESS SOLUTIONS",31779,2005-09-02,2005,2010,31779,0,"533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","KONICA MINOLTA BUSINESS SOLUTIONS"
fin-6013943,fin,"WYPLOSZ CHARLES",13122.74,2009-11-28,2009,2009,13122.74,0,"202  TRAVEL NON-PUBLIC SERVANTS","WYPLOSZ, CHARLES"
fin-6007480102,fin,"HEWSON BRIDGE & SMITH HBS",488927.25,2008-07-29,2008,2009,488927.25,0,"301  ADVERTISING SERVICES","HEWSON BRIDGE & SMITH - HBS"
fin-8008228,fin,"CANADIAN CORPS OF COMMISSIONAIRES",202101.05,2004-04-28,2004,2005,202101.05,0,"460  Protection services","CANADIAN CORPS OF COMMISSIONAIRES"
fin-6013980,fin,NORTHWESTEL,34226.22,2009-12-04,2009,2010,34226.22,0,"220  TELEPHONE AND OTHER VOICE SERVICES","NORTHWESTEL INC"
fin-7002740,fin,"ROBERT HALF MANAGEMENT RESOURCES",25145.06,2007-01-03,2007,2007,25145.06,0,"813  TEMPORARY HELP SERVICES","Robert Half Management Resources"
fin-6017638,fin,"LESLIE ANDERSON TRAINING & CONSULTING",24690.5,2015-04-27,2015,2016,24690.5,0,"499  OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","Leslie Anderson Training & Consulting"
fin-6074150464,fin,"FINANCIAL TIMES BUSINESS",26843.04,2015-12-15,2015,2016,18468.28,2,"361  ELECTRONIC SUBSCRIPTIONS AND ELECTRONIC PUBLICATIONS","Financial Times Business Ltd."
fin-8019284,fin,"DARE HUMAN RESOURCES",87004.8,2007-12-11,2007,2008,87004.8,0,"491  MANAGEMENT CONSULTING","DARE HUMAN RESOURCES"
fin-7004199,fin,MANPOWER,22534.31,2008-11-13,2008,2009,22534.31,0,"813  TEMPORARY HELP SERVICES",MANPOWER
fin-7002605,fin,"QUANTUM MANAGEMENT SERVICES",10929.66,2006-11-14,2006,2007,10929.66,0,"813  TEMPORARY HELP SERVICES","QUANTUM MANAGEMENT SERVICES LTD."
fin-2004PM150,fin,"TOSHIBA CANADA",14714.64,2004-07-01,2004,2007,14714.64,0,"533  Rental of machinery office furniture and fixtures","TOSHIBA CANADA LTD."
fin-6074120976,fin,"CISION CANADA",20340,2013-04-01,2013,2014,20340,0,"351  COMMUNICATIONS PROFESSIONNAL SERVICES NOT ELSEWHERE SPECIFIED","Cision Canada Inc."
fin-4000396,fin,"BP&M GOVERNMENT IM & IT CONSULTING",761184.95,2013-10-01,2013,2015,366120,3,"473  INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS CONSULTANTS","BP&M Government IM & IT Consulting"
fin-6007440302,fin,"PRESS NEWS LIMITED",40818.36,2005-04-01,2005,2006,40818.36,0,"499  Other professional services not otherwise specified","PRESS NEWS LIMITED"
fin-7002242,fin,"EXCEL HUMAN RESOURCES",18874.8,2006-07-04,2006,2006,18874.8,0,"813  TEMPORARY HELP SERVICES","EXCEL HUMAN RESOURCES"
fin-6007380,fin,"IT/NET OTTAWA",81320,2006-05-01,2006,2007,81320,0,"491  MANAGEMENT CONSULTING SERVICES","IT/NET OTTAWA INC."
fin-7004266,fin,"THE 500 STAFFING SERVICE",20307,2009-01-12,2009,2009,20307,0,"813  TEMPORARY HELP SERVICES","THE 500 STAFFING SERVICE INC."
fin-8018350,fin,JOUBERT,24416.04,2007-09-17,2007,2007,24416.04,0,"491  MANAGEMENT CONSULTING",JOUBERT
fin-6005946,fin,"ÉCOLE CREUSOT",11592,2005-04-01,2005,2006,11592,0,"447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","École Creusot"
fin-8008456,fin,"AGILYSYS CANADA",41556.66,2004-06-15,2004,2004,41556.66,0,"1227 Computer equipment – small – desktop / personal / portable / keyboard","AGILYSYS CANADA, INC."
